movie,director,actor,Duration,fbdirector_likes,fblikes_actor,genre,imdb_score,fblikes_movie,year,imdb_rating,country,year1,gross,budget,Duration.,duration
TRON: Legacy,Joseph Kosinski,Jeff Bridges,90-180min,364,12000,Action,6.8,30000,2010,7,USA,2010,$ 172M,$ 170M,125,2-3 hrs
Cars 2,John Lasseter,Joe Mantegna,90-180min,487,1000,Adventure,6.3,10000,2011,6,USA,2011,$ 191M,$ 200M,106,1-2  hrs
Green Lantern,Martin Campbell,Ryan Reynolds,90-180min,258,16000,Action,5.6,24000,2011,6,USA,2011,$ 117M,$ 200M,123,2-3 hrs
Toy Story 3,Lee Unkrich,Tom Hanks,90-180min,125,15000,Adventure,8.3,30000,2010,8,USA,2010,$ 415M,$ 200M,103,1-2  hrs
Terminator Salvation,McG,Christian Bale,90-180min,368,23000,Action,6.6,0,2009,7,USA,2009,$ 125M,$ 200M,118,1-2  hrs
Furious 7,James Wan,Jason Statham,90-180min,0,26000,Action,7.2,94000,2015,7,USA,2015,$ 350M,$ 190M,140,2-3 hrs
World War Z,Marc Forster,Peter Capaldi,90-180min,395,17000,Action,7,129000,2013,7,USA,2013,$ 202M,$ 190M,123,2-3 hrs
X-Men: Days of Future Past,Bryan Singer,Jennifer Lawrence,90-180min,0,34000,Action,8,82000,2014,8,USA,2014,$ 234M,$ 200M,149,2-3 hrs
Star Trek Into Darkness,J.J. Abrams,Benedict Cumberbatch,90-180min,14000,19000,Action,7.8,92000,2013,8,USA,2013,$ 229M,$ 190M,132,2-3 hrs
Jack the Giant Slayer,Bryan Singer,Eddie Marsan,90-180min,0,979,Adventure,6.3,22000,2013,6,USA,2013,$ 65M,$ 195M,114,1-2  hrs
The Great Gatsby,Baz Luhrmann,Leonardo DiCaprio,90-180min,1000,29000,Drama,7.3,115000,2013,7,Others,2013,$ 145M,$ 105M,143,2-3 hrs
Prince of Persia: The Sands of Time,Mike Newell,Jake Gyllenhaal,90-180min,179,15000,Action,6.6,23000,2010,7,USA,2010,$ 91M,$ 200M,116,1-2  hrs
Pacific Rim,Guillermo del Toro,Charlie Hunnam,90-180min,0,16000,Action,7,83000,2013,7,USA,2013,$ 102M,$ 190M,131,2-3 hrs
Transformers: Dark of the Moon,Michael Bay,Glenn Morshower,90-180min,0,894,Action,6.3,46000,2011,6,USA,2011,$ 352M,$ 195M,154,2-3 hrs
Indiana Jones and the Kingdom of the Crystal Skull,Steven Spielberg,Harrison Ford,90-180min,14000,11000,Action,6.2,5000,2008,6,USA,2008,$ 317M,$ 185M,122,2-3 hrs
The Good Dinosaur,Peter Sohn,A.J. Buckley,90-180min,113,275,Adventure,6.8,20000,2015,7,USA,2015,$ 123M,$ 0M,93,1-2  hrs
Brave,Mark Andrews,Kelly Macdonald,90-180min,56,2000,Adventure,7.2,39000,2012,7,USA,2012,$ 237M,$ 185M,93,1-2  hrs
Star Trek Beyond,Justin Lin,Sofia Boutella,90-180min,681,998,Action,7.5,30000,2016,8,USA,2016,$ 130M,$ 185M,122,2-3 hrs
WALLÔ_E,Andrew Stanton,John Ratzenberger,90-180min,475,1000,Adventure,8.4,16000,2008,8,USA,2008,#N/A,#N/A,172,2-3 hrs
Rush Hour 3,Brett Ratner,Tzi Ma,90-180min,420,268,Action,6.2,0,2007,6,USA,2007,$ 140M,$ 140M,91,1-2  hrs
2012,Roland Emmerich,Oliver Platt,90-180min,776,1000,Action,5.8,13000,2009,6,USA,2009,#N/A,#N/A,173,2-3 hrs
A Christmas Carol,Robert Zemeckis,Robin Wright,90-180min,0,18000,Animation,6.8,0,2009,7,USA,2009,$ 138M,$ 200M,96,1-2  hrs
Jupiter Ascending,Lana Wachowski,Channing Tatum,90-180min,0,17000,Action,5.4,44000,2015,5,USA,2015,$ 47M,$ 176M,127,2-3 hrs
The Legend of Tarzan,David Yates,Christoph Waltz,90-180min,282,11000,Action,6.6,29000,2016,7,USA,2016,$ 124M,$ 180M,110,1-2  hrs
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Andrew Adamson,Jim Broadbent,90-180min,80,1000,Adventure,6.9,0,2005,7,USA,2005,$ 292M,$ 180M,150,2-3 hrs
X-Men: Apocalypse,Bryan Singer,Jennifer Lawrence,90-180min,0,34000,Action,7.3,54000,2016,7,USA,2016,$ 155M,$ 178M,144,2-3 hrs
The Dark Knight,Christopher Nolan,Christian Bale,90-180min,22000,23000,Action,9,37000,2008,9,USA,2008,$ 533M,$ 185M,152,2-3 hrs
Up,Pete Docter,John Ratzenberger,90-180min,0,1000,Adventure,8.3,27000,2009,8,USA,2009,$ 293M,$ 175M,96,1-2  hrs
Monsters vs. Aliens,Rob Letterman,Amy Poehler,90-180min,11,1000,Action,6.5,0,2009,7,USA,2009,$ 198M,$ 175M,94,1-2  hrs
Iron Man,Jon Favreau,Robert Downey Jr.,90-180min,4000,21000,Action,7.9,10000,2008,8,USA,2008,$ 318M,$ 140M,126,2-3 hrs
Hugo,Martin Scorsese,Chloê_ Grace Moretz,90-180min,17000,17000,Adventure,7.5,42000,2011,8,USA,2011,$ 74M,$ 170M,126,2-3 hrs
Wild Wild West,Barry Sonnenfeld,Will Smith,90-180min,188,10000,Action,4.8,0,1999,5,USA,1999,$ 114M,$ 170M,106,1-2  hrs
The Mummy: Tomb of the Dragon Emperor,Rob Cohen,Jet Li,90-180min,357,5000,Action,5.2,0,2008,5,USA,2008,$ 102M,$ 145M,112,1-2  hrs
Suicide Squad,David Ayer,Will Smith,90-180min,452,10000,Action,6.9,80000,2016,7,USA,2016,$ 161M,$ 175M,123,2-3 hrs
Evan Almighty,Tom Shadyac,Jimmy Bennett,90-180min,293,87000,Comedy,5.4,2000,2007,5,USA,2007,$ 100M,$ 175M,96,1-2  hrs
Edge of Tomorrow,Doug Liman,Tom Cruise,90-180min,218,10000,Action,7.9,77000,2014,8,USA,2014,$ 100M,$ 178M,113,1-2  hrs
Waterworld,Kevin Reynolds,Jeanne Tripplehorn,90-180min,58,711,Action,6.1,0,1995,6,USA,1995,$ 88M,$ 175M,176,2-3 hrs
G.I. Joe: The Rise of Cobra,Stephen Sommers,Joseph Gordon-Levitt,90-180min,208,23000,Action,5.8,0,2009,6,USA,2009,$ 150M,$ 175M,118,1-2  hrs
Inside Out,Pete Docter,Amy Poehler,90-180min,0,1000,Adventure,8.3,118000,2015,8,USA,2015,$ 356M,$ 175M,95,1-2  hrs
The Jungle Book,Jon Favreau,Scarlett Johansson,90-180min,4000,19000,Adventure,7.8,65000,2016,8,UK,2016,$ 363M,$ 175M,106,1-2  hrs
Iron Man 2,Jon Favreau,Robert Downey Jr.,90-180min,4000,21000,Action,7,18000,2010,7,USA,2010,$ 312M,$ 200M,124,2-3 hrs
Snow White and the Huntsman,Rupert Sanders,Chris Hemsworth,90-180min,274,26000,Action,6.1,53000,2012,6,USA,2012,$ 155M,$ 170M,132,2-3 hrs
Maleficent,Robert Stromberg,Angelina Jolie Pitt,90-180min,171,11000,Action,7,89000,2014,7,USA,2014,$ 241M,$ 180M,97,1-2  hrs
Dawn of the Planet of the Apes,Matt Reeves,Gary Oldman,90-180min,198,10000,Action,7.6,45000,2014,8,USA,2014,$ 209M,$ 170M,130,2-3 hrs
The Lovers,Roland Joffê©,Tamsin Egerton,90-180min,596,622,Action,4.5,677,2015,5,Others,2015,$ 0M,$ 0M,109,1-2  hrs
47 Ronin,Carl Rinsch,Keanu Reeves,90-180min,47,18000,Action,6.3,35000,2013,6,USA,2013,$ 38M,$ 175M,128,2-3 hrs
Captain America: The Winter Soldier,Anthony Russo,Scarlett Johansson,90-180min,94,19000,Action,7.8,55000,2014,8,USA,2014,$ 260M,$ 170M,136,2-3 hrs
Shrek Forever After,Mike Mitchell,Jon Hamm,90-180min,31,4000,Adventure,6.4,0,2010,6,USA,2010,$ 238M,$ 165M,93,1-2  hrs
Tomorrowland,Brad Bird,Judy Greer,90-180min,663,2000,Action,6.5,37000,2015,7,USA,2015,$ 93M,$ 190M,130,2-3 hrs
Big Hero 6,Don Hall,Damon Wayans Jr.,90-180min,38,756,Action,7.9,41000,2014,8,USA,2014,$ 222M,$ 165M,102,1-2  hrs
Wreck-It Ralph,Rich Moore,Jack McBrayer,90-180min,66,975,Adventure,7.8,40000,2012,8,USA,2012,$ 189M,$ 165M,101,1-2  hrs
The Polar Express,Robert Zemeckis,Tom Hanks,90-180min,0,15000,Adventure,6.6,10000,2004,7,USA,2004,$ 1M,$ 165M,100,1-2  hrs
Independence Day: Resurgence,Roland Emmerich,Vivica A. Fox,90-180min,776,890,Action,5.5,67000,2016,6,USA,2016,$ 102M,$ 165M,120,1-2  hrs
How to Train Your Dragon,Dean DeBlois,Gerard Butler,90-180min,255,18000,Adventure,8.2,33000,2010,8,USA,2010,$ 217M,$ 165M,98,1-2  hrs
Terminator 3: Rise of the Machines,Jonathan Mostow,Nick Stahl,90-180min,84,648,Action,6.4,0,2003,6,USA,2003,$ 150M,$ 200M,109,1-2  hrs
Guardians of the Galaxy,James Gunn,Bradley Cooper,90-180min,571,14000,Action,8.1,96000,2014,8,USA,2014,$ 333M,$ 170M,121,2-3 hrs
Interstellar,Christopher Nolan,Matthew McConaughey,90-180min,22000,11000,Adventure,8.6,349000,2014,9,USA,2014,$ 188M,$ 165M,169,2-3 hrs
Inception,Christopher Nolan,Leonardo DiCaprio,90-180min,22000,29000,Action,8.8,175000,2010,9,USA,2010,$ 293M,$ 160M,148,2-3 hrs
Godzilla Resurgence,Hideaki Anno,Mark Chinnery,90-180min,28,544,Action,8.2,0,2016,8,Others,2016,$ 0M,$ 0M,120,1-2  hrs
The Hobbit: An Unexpected Journey,Peter Jackson,Aidan Turner,long,0,5000,Adventure,7.9,166000,2012,8,USA,2012,$ 303M,$ 180M,182,>3 hrs
The Fast and the Furious,Rob Cohen,Paul Walker,90-180min,357,23000,Action,6.7,14000,2001,7,USA,2001,$ 145M,$ 38M,106,1-2  hrs
The Curious Case of Benjamin Button,David Fincher,Brad Pitt,90-180min,21000,11000,Drama,7.8,23000,2008,8,USA,2008,$ 127M,$ 150M,166,2-3 hrs
X-Men: First Class,Matthew Vaughn,Jennifer Lawrence,90-180min,905,34000,Action,7.8,54000,2011,8,USA,2011,$ 146M,$ 160M,132,2-3 hrs
The Hunger Games: Mockingjay - Part 2,Francis Lawrence,Jennifer Lawrence,90-180min,508,34000,Adventure,6.6,38000,2015,7,USA,2015,$ 282M,$ 160M,137,2-3 hrs
The Sorcerer's Apprentice,Jon Turteltaub,Nicolas Cage,90-180min,226,12000,Action,6.1,11000,2010,6,USA,2010,$ 63M,$ 150M,109,1-2  hrs
Poseidon,Wolfgang Petersen,Jimmy Bennett,90-180min,249,87000,Action,5.6,0,2006,6,USA,2006,$ 61M,$ 160M,98,1-2  hrs
Alice Through the Looking Glass,James Bobin,Johnny Depp,90-180min,33,40000,Adventure,6.4,30000,2016,6,USA,2016,$ 77M,$ 170M,113,1-2  hrs
Shrek the Third,Chris Miller,Justin Timberlake,90-180min,50,3000,Adventure,6.1,0,2007,6,USA,2007,$ 321M,$ 160M,93,1-2  hrs
Warcraft,Duncan Jones,Dominic Cooper,90-180min,0,3000,Action,7.3,89000,2016,7,USA,2016,$ 47M,$ 160M,123,2-3 hrs
Terminator Genisys,Alan Taylor,J.K. Simmons,90-180min,230,24000,Action,6.6,82000,2015,7,USA,2015,$ 90M,$ 155M,126,2-3 hrs
The Chronicles of Narnia: The Voyage of the Dawn Treader,Michael Apted,Bruce Spence,90-180min,150,531,Adventure,6.3,11000,2010,6,USA,2010,$ 104M,$ 155M,113,1-2  hrs
Pearl Harbor,Michael Bay,Jennifer Garner,long,0,3000,Action,6.1,0,2001,6,USA,2001,$ 199M,$ 140M,184,>3 hrs
Transformers,Michael Bay,Zack Ward,90-180min,0,662,Action,7.1,8000,2007,7,USA,2007,$ 319M,$ 150M,144,2-3 hrs
Alexander,Oliver Stone,Anthony Hopkins,long,0,12000,Action,5.5,0,2004,6,Others,2004,$ 34M,$ 155M,206,>3 hrs
Harry Potter and the Order of the Phoenix,David Yates,Robert Pattinson,90-180min,282,21000,Adventure,7.5,0,2007,8,UK,2007,$ 292M,$ 150M,138,2-3 hrs
Harry Potter and the Goblet of Fire,Mike Newell,Robert Pattinson,90-180min,179,21000,Adventure,7.6,0,2005,8,UK,2005,$ 290M,$ 150M,157,2-3 hrs
Hancock,Peter Berg,Will Smith,90-180min,532,10000,Action,6.4,0,2008,6,USA,2008,$ 228M,$ 150M,102,1-2  hrs
I Am Legend,Francis Lawrence,Will Smith,90-180min,508,10000,Drama,7.2,11000,2007,7,USA,2007,$ 256M,$ 150M,104,1-2  hrs
Charlie and the Chocolate Factory,Tim Burton,Johnny Depp,90-180min,13000,40000,Adventure,6.7,0,2005,7,USA,2005,$ 206M,$ 150M,115,1-2  hrs
Ratatouille,Brad Bird,Janeane Garofalo,90-180min,663,1000,Animation,8,10000,2007,8,USA,2007,$ 206M,$ 150M,111,1-2  hrs
Batman Begins,Christopher Nolan,Christian Bale,90-180min,22000,23000,Action,8.3,15000,2005,8,USA,2005,$ 205M,$ 150M,128,2-3 hrs
Madagascar: Escape 2 Africa,Eric Darnell,Bernie Mac,30-90min,35,1000,Action,6.7,0,2008,7,USA,2008,$ 180M,$ 150M,89,1-2  hrs
Night at the Museum: Battle of the Smithsonian,Shawn Levy,Robin Williams,90-180min,189,49000,Adventure,5.9,2000,2009,6,USA,2009,$ 177M,$ 150M,105,1-2  hrs
X-Men Origins: Wolverine,Gavin Hood,Hugh Jackman,90-180min,151,20000,Action,6.7,0,2009,7,USA,2009,$ 180M,$ 150M,119,1-2  hrs
The Matrix Revolutions,Lana Wachowski,Essie Davis,90-180min,0,309,Action,6.7,0,2003,7,Others,2003,$ 139M,$ 150M,129,2-3 hrs
Frozen,Chris Buck,Josh Gad,90-180min,69,1000,Adventure,7.6,58000,2013,8,USA,2013,$ 401M,$ 150M,102,1-2  hrs
The Matrix Reloaded,Lana Wachowski,Steve Bastoni,90-180min,0,234,Action,7.2,0,2003,7,USA,2003,$ 281M,$ 150M,138,2-3 hrs
Thor: The Dark World,Alan Taylor,Chris Hemsworth,90-180min,230,26000,Action,7.1,63000,2013,7,USA,2013,$ 206M,$ 170M,112,1-2  hrs
Mad Max: Fury Road,George Miller,Tom Hardy,90-180min,750,27000,Action,8.1,191000,2015,8,Others,2015,$ 154M,$ 150M,120,1-2  hrs
Angels & Demons,Ron Howard,Tom Hanks,90-180min,2000,15000,Mystery,6.7,0,2009,7,USA,2009,$ 133M,$ 150M,146,2-3 hrs
Thor,Kenneth Branagh,Chris Hemsworth,90-180min,0,26000,Action,7,63000,2011,7,USA,2011,$ 181M,$ 150M,115,1-2  hrs
Bolt,Byron Howard,Chloê_ Grace Moretz,90-180min,59,17000,Adventure,6.9,0,2008,7,USA,2008,$ 114M,$ 150M,96,1-2  hrs
G-Force,Hoyt Yeatman,Kelli Garner,30-90min,12,730,Action,5.1,0,2009,5,USA,2009,$ 119M,$ 150M,88,1-2  hrs
Wrath of the Titans,Jonathan Liebesman,Liam Neeson,90-180min,473,14000,Action,5.8,19000,2012,6,USA,2012,$ 84M,$ 150M,99,1-2  hrs
Dark Shadows,Tim Burton,Johnny Depp,90-180min,13000,40000,Comedy,6.2,82000,2012,6,USA,2012,$ 80M,$ 100M,113,1-2  hrs
Mission: Impossible - Rogue Nation,Christopher McQuarrie,Tom Cruise,90-180min,188,10000,Action,7.4,47000,2015,7,Others,2015,$ 195M,$ 150M,131,2-3 hrs
The Wolfman,Joe Johnston,Anthony Hopkins,90-180min,394,12000,Drama,5.8,0,2010,6,USA,2010,$ 62M,$ 150M,119,1-2  hrs
The Legend of Tarzan,David Yates,Christoph Waltz,90-180min,282,11000,Action,6.6,29000,2016,7,USA,2016,$ 124M,$ 180M,110,1-2  hrs
Bee Movie,Steve Hickner,Matthew Broderick,90-180min,58,2000,Adventure,6.2,0,2007,6,USA,2007,$ 127M,$ 150M,91,1-2  hrs
Kung Fu Panda 2,Jennifer Yuh Nelson,Angelina Jolie Pitt,90-180min,90,11000,Action,7.3,20000,2011,7,USA,2011,$ 165M,$ 150M,90,1-2  hrs
The Last Airbender,M. Night Shyamalan,Seychelle Gabriel,90-180min,0,1000,Action,4.2,18000,2010,4,USA,2010,$ 132M,$ 150M,103,1-2  hrs
Mission: Impossible III,J.J. Abrams,Philip Seymour Hoffman,90-180min,14000,22000,Action,6.9,0,2006,7,USA,2006,$ 133M,$ 150M,124,2-3 hrs
White House Down,Roland Emmerich,Channing Tatum,90-180min,776,17000,Action,6.4,33000,2013,6,USA,2013,$ 73M,$ 150M,131,2-3 hrs
Mars Needs Moms,Simon Wells,Elisabeth Harnois,30-90min,25,921,Action,5.4,0,2011,5,USA,2011,$ 21M,$ 150M,88,1-2  hrs
Flushed Away,David Bowers,Hugh Jackman,30-90min,42,20000,Adventure,6.7,0,2006,7,UK,2006,$ 64M,$ 149M,85,1-2  hrs
Pan,Joe Wright,Hugh Jackman,90-180min,456,20000,Adventure,5.8,24000,2015,6,USA,2015,$ 35M,$ 150M,111,1-2  hrs
Mr. Peabody & Sherman,Rob Minkoff,Ty Burrell,90-180min,50,3000,Adventure,6.9,11000,2014,7,USA,2014,$ 112M,$ 145M,92,1-2  hrs
Troy,Wolfgang Petersen,Brad Pitt,long,249,11000,Adventure,7.2,0,2004,7,USA,2004,$ 133M,$ 175M,196,>3 hrs
Madagascar 3: Europe's Most Wanted,Eric Darnell,Jada Pinkett Smith,90-180min,35,851,Adventure,6.9,17000,2012,7,USA,2012,$ 216M,$ 145M,93,1-2  hrs
Die Another Day,Lee Tamahori,Toby Stephens,90-180min,93,769,Action,6.1,0,2002,6,UK,2002,$ 160M,$ 142M,133,2-3 hrs
Ghostbusters,Paul Feig,Ed Begley Jr.,90-180min,176,783,Action,5.5,62000,2016,6,USA,2016,$ 118M,$ 144M,116,1-2  hrs
Armageddon,Michael Bay,Bruce Willis,90-180min,0,13000,Action,6.6,11000,1998,7,USA,1998,$ 202M,$ 140M,153,2-3 hrs
Men in Black II,Barry Sonnenfeld,Will Smith,30-90min,188,10000,Action,6.1,2000,2002,6,USA,2002,$ 190M,$ 140M,88,1-2  hrs
Beowulf,Robert Zemeckis,Robin Wright,90-180min,0,18000,Action,6.3,3000,2007,6,USA,2007,$ 82M,$ 150M,115,1-2  hrs
Kung Fu Panda 3,Alessandro Carloni,J.K. Simmons,90-180min,5,24000,Action,7.2,24000,2016,7,USA,2016,$ 144M,$ 145M,95,1-2  hrs
Mission: Impossible - Ghost Protocol,Brad Bird,Tom Cruise,90-180min,663,10000,Action,7.4,35000,2011,7,USA,2011,$ 209M,$ 145M,133,2-3 hrs
Rise of the Guardians,Peter Ramsey,Hugh Jackman,90-180min,52,20000,Adventure,7.3,25000,2012,7,USA,2012,$ 103M,$ 145M,97,1-2  hrs
Fun with Dick and Jane,Dean Parisot,John Michael Higgins,90-180min,23,957,Comedy,6.1,2000,2005,6,USA,2005,$ 110M,$ 100M,90,1-2  hrs
The Last Samurai,Edward Zwick,Tom Cruise,90-180min,380,10000,Action,7.7,0,2003,8,USA,2003,$ 111M,$ 140M,154,2-3 hrs
Exodus: Gods and Kings,Ridley Scott,Christian Bale,90-180min,0,23000,Action,6.1,51000,2014,6,UK,2014,$ 65M,$ 140M,150,2-3 hrs
Star Trek,J.J. Abrams,Chris Hemsworth,90-180min,14000,26000,Action,8,19000,2009,8,USA,2009,$ 258M,$ 150M,127,2-3 hrs
Spider-Man,Sam Raimi,J.K. Simmons,90-180min,0,24000,Action,7.3,5000,2002,7,USA,2002,$ 404M,$ 139M,121,2-3 hrs
How to Train Your Dragon 2,Dean DeBlois,Gerard Butler,90-180min,255,18000,Action,7.9,46000,2014,8,USA,2014,$ 177M,$ 145M,102,1-2  hrs
Gods of Egypt,Alex Proyas,Gerard Butler,90-180min,295,18000,Action,5.5,24000,2016,6,USA,2016,$ 31M,$ 140M,126,2-3 hrs
Stealth,Rob Cohen,Sam Shepard,90-180min,357,820,Action,5,0,2005,5,USA,2005,$ 32M,$ 135M,121,2-3 hrs
Watchmen,Zack Snyder,Matt Frewer,long,0,986,Action,7.7,18000,2009,8,USA,2009,$ 108M,$ 130M,215,>3 hrs
Lethal Weapon 4,Richard Donner,Jet Li,90-180min,503,5000,Action,6.6,0,1998,7,USA,1998,$ 130M,$ 140M,127,2-3 hrs
Hulk,Ang Lee,Kevin Rankin,90-180min,0,820,Action,5.7,0,2003,6,USA,2003,$ 132M,$ 137M,138,2-3 hrs
G.I. Joe: Retaliation,Jon M. Chu,Channing Tatum,90-180min,209,17000,Action,5.8,42000,2013,6,USA,2013,$ 123M,$ 130M,122,2-3 hrs
Sahara,Breck Eisner,Matthew McConaughey,90-180min,42,11000,Action,6,0,2005,6,UK,2005,$ 69M,$ 130M,124,2-3 hrs
Final Fantasy: The Spirits Within,Hironobu Sakaguchi,Steve Buscemi,90-180min,6,12000,Action,6.4,0,2001,6,USA,2001,$ 32M,$ 137M,106,1-2  hrs
Captain America: The First Avenger,Joe Johnston,Chris Evans,90-180min,394,11000,Action,6.9,46000,2011,7,USA,2011,$ 177M,$ 140M,124,2-3 hrs
The World Is Not Enough,Michael Apted,Colin Salmon,90-180min,150,766,Action,6.4,2000,1999,6,UK,1999,$ 127M,$ 135M,128,2-3 hrs
Master and Commander: The Far Side of the World,Peter Weir,James D'Arcy,90-180min,608,613,Action,7.4,0,2003,7,USA,2003,$ 94M,$ 150M,138,2-3 hrs
