movie_title,genres,title_year,imdb_score,imdb_rating,country,budget,gross,director_name,
47 Ronin ,Action,2013,6.3,6,USA,175000000,38297305,Carl Rinsch,
Captain America: The Winter Soldier ,Action,2014,7.8,8,USA,170000000,259746958,Anthony Russo,
Shrek Forever After ,Adventure,2010,6.4,6,USA,165000000,238371987,Mike Mitchell,
Tomorrowland ,Action,2015,6.5,7,USA,190000000,93417865,Brad Bird,
Big Hero 6 ,Action,2014,7.9,8,USA,165000000,222487711,Don Hall,
Wreck-It Ralph ,Adventure,2012,7.8,8,USA,165000000,189412677,Rich Moore,
The Polar Express ,Adventure,2004,6.6,7,USA,165000000,665426,Robert Zemeckis,
Independence Day: Resurgence ,Action,2016,5.5,6,USA,165000000,102315545,Roland Emmerich,
How to Train Your Dragon ,Adventure,2010,8.2,8,USA,165000000,217387997,Dean DeBlois,
Terminator 3: Rise of the Machines ,Action,2003,6.4,6,USA,200000000,150350192,Jonathan Mostow,
Guardians of the Galaxy ,Action,2014,8.1,8,USA,170000000,333130696,James Gunn,
Interstellar ,Adventure,2014,8.6,9,USA,165000000,187991439,Christopher Nolan,
Inception ,Action,2010,8.8,9,USA,160000000,292568851,Christopher Nolan,
The Hobbit: An Unexpected Journey ,Adventure,2012,7.9,8,USA,180000000,303001229,Peter Jackson,
The Fast and the Furious ,Action,2001,6.7,7,USA,38000000,144512310,Rob Cohen,
The Curious Case of Benjamin Button ,Drama,2008,7.8,8,USA,150000000,127490802,David Fincher,
X-Men: First Class ,Action,2011,7.8,8,USA,160000000,146405371,Matthew Vaughn,
The Hunger Games: Mockingjay - Part 2 ,Adventure,2015,6.6,7,USA,160000000,281666058,Francis Lawrence,
The Sorcerer's Apprentice ,Action,2010,6.1,6,USA,150000000,63143812,Jon Turteltaub,
Poseidon ,Action,2006,5.6,6,USA,160000000,60655503,Wolfgang Petersen,
Alice Through the Looking Glass ,Adventure,2016,6.4,6,USA,170000000,76846624,James Bobin,
Shrek the Third ,Adventure,2007,6.1,6,USA,160000000,320706665,Chris Miller,
Warcraft ,Action,2016,7.3,7,USA,160000000,46978995,Duncan Jones,
Terminator Genisys ,Action,2015,6.6,7,USA,155000000,89732035,Alan Taylor,
The Chronicles of Narnia: The Voyage of the Dawn Treader ,Adventure,2010,6.3,6,USA,155000000,104383624,Michael Apted,
Pearl Harbor ,Action,2001,6.1,6,USA,140000000,198539855,Michael Bay,
Transformers ,Action,2007,7.1,7,USA,150000000,318759914,Michael Bay,
Alexander ,Action,2004,5.5,6,Germany,155000000,34293771,Oliver Stone,
Harry Potter and the Order of the Phoenix ,Adventure,2007,7.5,8,UK,150000000,292000866,David Yates,
Harry Potter and the Goblet of Fire ,Adventure,2005,7.6,8,UK,150000000,289994397,Mike Newell,
Hancock ,Action,2008,6.4,6,USA,150000000,227946274,Peter Berg,
I Am Legend ,Drama,2007,7.2,7,USA,150000000,256386216,Francis Lawrence,
Charlie and the Chocolate Factory ,Adventure,2005,6.7,7,USA,150000000,206456431,Tim Burton,
Ratatouille ,Animation,2007,8,8,USA,150000000,206435493,Brad Bird,
Batman Begins ,Action,2005,8.3,8,USA,150000000,205343774,Christopher Nolan,
Madagascar: Escape 2 Africa ,Action,2008,6.7,7,USA,150000000,179982968,Eric Darnell,
Night at the Museum: Battle of the Smithsonian ,Adventure,2009,5.9,6,USA,150000000,177243721,Shawn Levy,
X-Men Origins: Wolverine ,Action,2009,6.7,7,USA,150000000,179883016,Gavin Hood,
The Matrix Revolutions ,Action,2003,6.7,7,Australia,150000000,139259759,Lana Wachowski,
Frozen ,Adventure,2013,7.6,8,USA,150000000,400736600,Chris Buck,
The Matrix Reloaded ,Action,2003,7.2,7,USA,150000000,281492479,Lana Wachowski,
Thor: The Dark World ,Action,2013,7.1,7,USA,170000000,206360018,Alan Taylor,
Mad Max: Fury Road ,Action,2015,8.1,8,Australia,150000000,153629485,George Miller,
Angels & Demons ,Mystery,2009,6.7,7,USA,150000000,133375846,Ron Howard,0
Thor ,Action,2011,7,7,USA,150000000,181015141,Kenneth Branagh,
Bolt ,Adventure,2008,6.9,7,USA,150000000,114053579,Byron Howard,
G-Force ,Action,2009,5.1,5,USA,150000000,119420252,Hoyt Yeatman,
Wrath of the Titans ,Action,2012,5.8,6,USA,150000000,83640426,Jonathan Liebesman,
Dark Shadows ,Comedy,2012,6.2,6,USA,100000000,79711678,Tim Burton,
Mission: Impossible - Rogue Nation ,Action,2015,7.4,7,China,150000000,195000874,Christopher McQuarrie,
The Wolfman ,Drama,2010,5.8,6,USA,150000000,61937495,Joe Johnston,
The Legend of Tarzan ,Action,2016,6.6,7,USA,180000000,124051759,David Yates,
Bee Movie ,Adventure,2007,6.2,6,USA,150000000,126597121,Steve Hickner,
Kung Fu Panda 2 ,Action,2011,7.3,7,USA,150000000,165230261,Jennifer Yuh Nelson,
The Last Airbender ,Action,2010,4.2,4,USA,150000000,131564731,M. Night Shyamalan,
Mission: Impossible III ,Action,2006,6.9,7,USA,150000000,133382309,J.J. Abrams,
White House Down ,Action,2013,6.4,6,USA,150000000,73103784,Roland Emmerich,
Mars Needs Moms ,Action,2011,5.4,5,USA,150000000,21379315,Simon Wells,
Flushed Away ,Adventure,2006,6.7,7,UK,149000000,64459316,David Bowers,
Pan ,Adventure,2015,5.8,6,USA,150000000,34964818,Joe Wright,
Mr. Peabody & Sherman ,Adventure,2014,6.9,7,USA,145000000,111505642,Rob Minkoff,
Troy ,Adventure,2004,7.2,7,USA,175000000,133228348,Wolfgang Petersen,
Madagascar 3: Europe's Most Wanted ,Adventure,2012,6.9,7,USA,145000000,216366733,Eric Darnell,
Die Another Day ,Action,2002,6.1,6,UK,142000000,160201106,Lee Tamahori,
Ghostbusters ,Action,2016,5.5,6,USA,144000000,118099659,Paul Feig,
Armageddon ,Action,1998,6.6,7,USA,140000000,201573391,Michael Bay,
Men in Black II ,Action,2002,6.1,6,USA,140000000,190418803,Barry Sonnenfeld,
Beowulf ,Action,2007,6.3,6,USA,150000000,82161969,Robert Zemeckis,
Kung Fu Panda 3 ,Action,2016,7.2,7,USA,145000000,143523463,Alessandro Carloni,
Mission: Impossible - Ghost Protocol ,Action,2011,7.4,7,USA,145000000,209364921,Brad Bird,
Rise of the Guardians ,Adventure,2012,7.3,7,USA,145000000,103400692,Peter Ramsey,
Fun with Dick and Jane ,Comedy,2005,6.1,6,USA,100000000,110332737,Dean Parisot,
The Last Samurai ,Action,2003,7.7,8,USA,140000000,111110575,Edward Zwick,
Exodus: Gods and Kings ,Action,2014,6.1,6,UK,140000000,65007045,Ridley Scott,
Star Trek ,Action,2009,8,8,USA,150000000,257704099,J.J. Abrams,
Spider-Man ,Action,2002,7.3,7,USA,139000000,403706375,Sam Raimi,
How to Train Your Dragon 2 ,Action,2014,7.9,8,USA,145000000,176997107,Dean DeBlois,
Gods of Egypt ,Action,2016,5.5,6,USA,140000000,31141074,Alex Proyas,
Stealth ,Action,2005,5,5,USA,135000000,31704416,Rob Cohen,
Watchmen ,Action,2009,7.7,8,USA,130000000,107503316,Zack Snyder,
Lethal Weapon 4 ,Action,1998,6.6,7,USA,140000000,129734803,Richard Donner,
Hulk ,Action,2003,5.7,6,USA,137000000,132122995,Ang Lee,
G.I. Joe: Retaliation ,Action,2013,5.8,6,USA,130000000,122512052,Jon M. Chu,
Sahara ,Action,2005,6,6,UK,130000000,68642452,Breck Eisner,
Final Fantasy: The Spirits Within ,Action,2001,6.4,6,USA,137000000,32131830,Hironobu Sakaguchi,
Captain America: The First Avenger ,Action,2011,6.9,7,USA,140000000,176636816,Joe Johnston,
The World Is Not Enough ,Action,1999,6.4,6,UK,135000000,126930660,Michael Apted,
Master and Commander: The Far Side of the World ,Action,2003,7.4,7,USA,150000000,93926386,Peter Weir,
The Twilight Saga: Breaking Dawn - Part 2 ,Adventure,2012,5.5,6,USA,120000000,292298923,Bill Condon,
Happy Feet 2 ,Animation,2011,5.9,6,Australia,135000000,63992328,George Miller,
The Incredible Hulk ,Action,2008,6.8,7,USA,150000000,134518390,Louis Leterrier,
The BFG ,Adventure,2016,6.8,7,UK,140000000,52792307,Steven Spielberg,
The Revenant ,Adventure,2015,8.1,8,USA,135000000,183635922,Alejandro G. Iñárritu,
Turbo ,Adventure,2013,6.5,7,USA,135000000,83024900,David Soren,
Rango ,Adventure,2011,7.2,7,USA,135000000,123207194,Gore Verbinski,
Penguins of Madagascar ,Adventure,2014,6.7,7,USA,132000000,83348920,Eric Darnell,
The Bourne Ultimatum ,Action,2007,8.1,8,USA,110000000,227137090,Paul Greengrass,
Kung Fu Panda ,Action,2008,7.6,8,USA,130000000,215395021,Mark Osborne,
Ant-Man ,Action,2015,7.4,7,USA,130000000,180191634,Peyton Reed,
The Hunger Games: Catching Fire ,Adventure,2013,7.6,8,USA,130000000,424645577,Francis Lawrence,
The Twilight Saga: Breaking Dawn - Part 2 ,Adventure,2012,5.5,6,USA,120000000,292298923,Bill Condon,
Home ,Adventure,2015,6.7,7,USA,135000000,177343675,Tim Johnson,
War of the Worlds ,Adventure,2005,6.5,7,USA,132000000,234277056,Steven Spielberg,
Bad Boys II ,Action,2003,6.6,7,USA,130000000,138396624,Michael Bay,
Puss in Boots ,Action,2011,6.7,7,USA,130000000,149234747,Chris Miller,
Salt ,Action,2010,6.4,6,USA,110000000,118311368,Phillip Noyce,
Noah ,Action,2014,5.8,6,USA,125000000,101160529,Darren Aronofsky,
The Adventures of Tintin ,Action,2011,7.4,7,USA,135000000,77564037,Steven Spielberg,
Harry Potter and the Prisoner of Azkaban ,Adventure,2004,7.8,8,UK,130000000,249358727,Alfonso Cuarón,
Australia ,Adventure,2008,6.6,7,Australia,130000000,49551662,Baz Luhrmann,
After Earth ,Action,2013,4.9,5,USA,130000000,60522097,M. Night Shyamalan,
Dinosaur ,Adventure,2000,6.5,7,USA,127500000,137748063,Eric Leighton,
Night at the Museum: Secret of the Tomb ,Adventure,2014,6.2,6,USA,127000000,113733726,Shawn Levy,
Megamind ,Action,2010,7.3,7,USA,130000000,148337537,Tom McGrath,
Harry Potter and the Sorcerer's Stone ,Adventure,2001,7.5,8,UK,125000000,317557891,Chris Columbus,
R.I.P.D. ,Action,2013,5.6,6,USA,130000000,33592415,Robert Schwentke,
Pirates of the Caribbean: The Curse of the Black Pearl ,Action,2003,8.1,8,USA,140000000,305388685,Gore Verbinski,
The Hunger Games: Mockingjay - Part 1 ,Adventure,2014,6.7,7,USA,125000000,337103873,Francis Lawrence,
The Da Vinci Code ,Mystery,2006,6.6,7,USA,125000000,217536138,Ron Howard,0
Rio 2 ,Adventure,2014,6.4,6,USA,103000000,131536019,Carlos Saldanha,
X-Men 2 ,Action,2003,7.5,8,Canada,110000000,214948780,Bryan Singer,
Fast Five ,Action,2011,7.3,7,USA,125000000,209805005,Justin Lin,
Sherlock Holmes: A Game of Shadows ,Action,2011,7.5,8,USA,125000000,186830669,Guy Ritchie,
Clash of the Titans ,Action,2010,5.8,6,USA,125000000,163192114,Louis Leterrier,
Total Recall ,Action,1990,7.5,8,USA,65000000,119412921,Paul Verhoeven,
The 13th Warrior ,Action,1999,6.6,7,USA,85000000,32694788,John McTiernan,
The Bourne Legacy ,Action,2012,6.7,7,USA,125000000,113165635,Tony Gilroy,
Batman & Robin ,Action,1997,3.7,4,USA,125000000,107285004,Joel Schumacher,
How the Grinch Stole Christmas ,Comedy,2000,6,6,USA,123000000,260031035,Ron Howard,
The Day After Tomorrow ,Action,2004,6.4,6,USA,125000000,186739919,Roland Emmerich,
Mission: Impossible II ,Action,2000,6.1,6,USA,125000000,215397307,John Woo,
The Perfect Storm ,Action,2000,6.4,6,USA,140000000,182618434,Wolfgang Petersen,
Fantastic 4: Rise of the Silver Surfer ,Action,2007,5.6,6,USA,130000000,131920333,Tim Story,
Life of Pi ,Adventure,2012,8,8,USA,120000000,124976634,Ang Lee,
Ghost Rider ,Action,2007,5.2,5,USA,110000000,115802596,Mark Steven Johnson,
Jason Bourne ,Action,2016,7.1,7,UK,120000000,108521835,Paul Greengrass,
Charlie's Angels: Full Throttle ,Action,2003,4.8,5,USA,120000000,100685880,McG,
Prometheus ,Adventure,2012,7,7,USA,130000000,126464904,Ridley Scott,
Stuart Little 2 ,Adventure,2002,5.4,5,USA,120000000,64736114,Rob Minkoff,
Elysium ,Action,2013,6.6,7,USA,115000000,93050117,Neill Blomkamp,
The Chronicles of Riddick ,Action,2004,6.7,7,USA,105000000,57637485,David Twohy,
RoboCop ,Action,2014,6.2,6,USA,100000000,58607007,José Padilha,
Speed Racer ,Action,2008,6.1,6,USA,120000000,43929341,Lana Wachowski,
How Do You Know ,Comedy,2010,5.3,5,USA,120000000,30212620,James L. Brooks,
Knight and Day ,Action,2010,6.3,6,USA,117000000,76418654,James Mangold,
Oblivion ,Action,2013,7,7,USA,120000000,89021735,Joseph Kosinski,
Star Wars: Episode III - Revenge of the Sith ,Action,2005,7.6,8,USA,113000000,380262555,George Lucas,
Star Wars: Episode II - Attack of the Clones ,Action,2002,6.7,7,USA,115000000,310675583,George Lucas,
"Monsters, Inc. ",Adventure,2001,8.1,8,USA,115000000,289907418,Pete Docter,
The Wolverine ,Action,2013,6.7,7,USA,120000000,132550960,James Mangold,
Star Wars: Episode I - The Phantom Menace ,Action,1999,6.5,7,USA,115000000,474544677,George Lucas,
The Croods ,Adventure,2013,7.3,7,USA,135000000,187165546,Kirk De Micco,
Windtalkers ,Action,2002,6,6,USA,115000000,40911830,John Woo,
The Huntsman: Winter's War ,Action,2016,6.1,6,USA,115000000,47952020,Cedric Nicolas-Troyan,
Teenage Mutant Ninja Turtles ,Action,2014,5.9,6,USA,125000000,190871240,Jonathan Liebesman,
Gravity ,Adventure,2013,7.8,8,UK,100000000,274084951,Alfonso Cuarón,
Dante's Peak ,Action,1997,5.8,6,USA,116000000,67155742,Roger Donaldson,
Teenage Mutant Ninja Turtles: Out of the Shadows ,Action,2016,6.3,6,USA,135000000,81638674,Dave Green,
Fantastic Four ,Action,2015,4.3,4,USA,120000000,56114221,Josh Trank,
Night at the Museum ,Action,2006,6.4,6,USA,110000000,250863268,Shawn Levy,
San Andreas ,Action,2015,6.1,6,USA,110000000,155181732,Brad Peyton,
Tomorrow Never Dies ,Action,1997,6.5,7,UK,110000000,125332007,Roger Spottiswoode,
The Patriot ,Action,2000,7.1,7,USA,110000000,113330342,Roland Emmerich,
Ocean's Twelve ,Crime,2004,6.4,6,USA,110000000,125531634,Steven Soderbergh,
Mr. & Mrs. Smith ,Action,2005,6.5,7,USA,120000000,186336103,Doug Liman,
Insurgent ,Adventure,2015,6.3,6,USA,110000000,129995817,Robert Schwentke,
The Aviator ,Biography,2004,7.5,8,USA,110000000,102608827,Martin Scorsese,
Gulliver's Travels ,Adventure,2010,4.9,5,USA,112000000,42776259,Rob Letterman,
The Green Hornet ,Action,2011,5.8,6,USA,120000000,98780042,Michel Gondry,
300: Rise of an Empire ,Action,2014,6.2,6,USA,110000000,106369117,Noam Murro,
The Smurfs ,Adventure,2011,5.5,6,USA,110000000,142614158,Raja Gosnell,
Home on the Range ,Animation,2004,5.4,5,USA,110000000,50026353,Will Finn,
Allegiant ,Action,2016,5.8,6,USA,110000000,66002193,Robert Schwentke,
Real Steel ,Action,2011,7.1,7,USA,110000000,85463309,Shawn Levy,
The Smurfs 2 ,Adventure,2013,5.4,5,USA,105000000,71017784,Raja Gosnell,
Speed 2: Cruise Control ,Action,1997,3.7,4,USA,160000000,48068396,Jan de Bont,
Ender's Game ,Action,2013,6.7,7,USA,110000000,61656849,Gavin Hood,
Live Free or Die Hard ,Action,2007,7.2,7,USA,110000000,134520804,Len Wiseman,
The Lord of the Rings: The Fellowship of the Ring ,Action,2001,8.8,9,New Zealand,93000000,313837577,Peter Jackson,
Around the World in 80 Days ,Action,2004,5.8,6,USA,110000000,24004159,Frank Coraci,
Ali ,Biography,2001,6.8,7,USA,107000000,58183966,Michael Mann,
The Cat in the Hat ,Adventure,2003,3.8,4,USA,109000000,100446895,Bo Welch,
"I, Robot ",Action,2004,7.1,7,USA,120000000,144795350,Alex Proyas,
Kingdom of Heaven ,Action,2005,7.2,7,USA,130000000,47396698,Ridley Scott,
Stuart Little ,Adventure,1999,5.9,6,Germany,133000000,140015224,Rob Minkoff,
The Princess and the Frog ,Animation,2009,7.1,7,USA,105000000,104374107,Ron Clements,
The Martian ,Adventure,2015,8.1,8,USA,108000000,228430993,Ridley Scott,
The Island ,Action,2005,6.9,7,USA,126000000,35799026,Michael Bay,
Town & Country ,Comedy,2001,4.4,4,New Line,90000000,6712451,Peter Chelsom,
Gone in Sixty Seconds ,Action,2000,6.5,7,USA,90000000,101643008,Dominic Sena,
Gladiator ,Action,2000,8.5,9,USA,103000000,187670866,Ridley Scott,
Minority Report ,Action,2002,7.7,8,USA,102000000,132014112,Steven Spielberg,
Harry Potter and the Chamber of Secrets ,Adventure,2002,7.4,7,UK,100000000,261970615,Chris Columbus,
Casino Royale ,Action,2006,8,8,UK,150000000,167007184,Martin Campbell,
Planet of the Apes ,Action,2001,5.7,6,USA,100000000,180011740,Tim Burton,
Terminator 2: Judgment Day ,Action,1991,8.5,9,USA,102000000,204843350,James Cameron,
Public Enemies ,Biography,2009,7,7,USA,100000000,97030725,Michael Mann,
American Gangster ,Biography,2007,7.8,8,USA,100000000,130127620,Ridley Scott,
True Lies ,Action,1994,7.2,7,USA,115000000,146282411,James Cameron,
The Taking of Pelham 1 2 3 ,Action,2009,6.4,6,USA,100000000,65452312,Tony Scott,
Little Fockers ,Comedy,2010,5.5,6,USA,100000000,148383780,Paul Weitz,
The Other Guys ,Action,2010,6.7,7,USA,100000000,119219978,Adam McKay,
Eraser ,Action,1996,6.1,6,USA,100000000,101228120,Chuck Russell,
Django Unchained ,Drama,2012,8.5,9,USA,100000000,162804648,Quentin Tarantino,
The Hunchback of Notre Dame ,Animation,1996,6.9,7,USA,100000000,100117603,Gary Trousdale,
The Emperor's New Groove ,Adventure,2000,7.3,7,USA,100000000,89296573,Mark Dindal,
The Expendables 2 ,Action,2012,6.7,7,USA,92000000,85017401,Simon West,
National Treasure ,Action,2004,6.9,7,USA,100000000,173005002,Jon Turteltaub,
Eragon ,Action,2006,5.1,5,USA,100000000,75030163,Stefen Fangmeier,
Where the Wild Things Are ,Adventure,2009,6.8,7,Germany,100000000,77222184,Spike Jonze,
Pan ,Adventure,2015,5.8,6,USA,150000000,34964818,Joe Wright,
Epic ,Adventure,2013,6.7,7,USA,100000000,107515297,Chris Wedge,
The Tourist ,Action,2010,6,6,USA,100000000,67631157,Florian Henckel von Donnersmarck,
End of Days ,Action,1999,5.7,6,USA,83000000,66862068,Peter Hyams,
Blood Diamond ,Adventure,2006,8,8,Germany,100000000,57366262,Edward Zwick,
The Wolf of Wall Street ,Biography,2013,8.2,8,USA,100000000,116866727,Martin Scorsese,
Batman Forever ,Action,1995,5.4,5,USA,100000000,184031112,Joel Schumacher,
Starship Troopers ,Action,1997,7.2,7,USA,105000000,54700065,Paul Verhoeven,
Cloud Atlas ,Drama,2012,7.5,8,Germany,102000000,27098580,Tom Tykwer,
Legend of the Guardians: The Owls of Ga'Hoole ,Action,2010,7,7,USA,80000000,55673333,Zack Snyder,
Catwoman ,Action,2004,3.3,3,USA,100000000,40198710,Pitof,
Hercules ,Action,2014,6,6,USA,100000000,72660029,Brett Ratner,
Treasure Planet ,Adventure,2002,7.1,7,USA,140000000,38120554,Ron Clements,
Land of the Lost ,Adventure,2009,5.4,5,USA,100000000,49392095,Brad Silberling,
The Expendables 3 ,Action,2014,6.1,6,USA,90000000,39292022,Patrick Hughes,
Point Break ,Action,2015,5.3,5,USA,105000000,28772222,Ericson Core,
Son of the Mask ,Comedy,2005,2.2,2,USA,84000000,17010646,Lawrence Guterman,
In the Heart of the Sea ,Action,2015,7,7,USA,100000000,24985612,Ron Howard,
The Adventures of Pluto Nash ,Action,2002,3.8,4,USA,100000000,4411102,Ron Underwood,
Green Zone ,Action,2010,6.9,7,France,100000000,35024475,Paul Greengrass,
The Peanuts Movie ,Adventure,2015,7.2,7,USA,99000000,130174897,Steve Martino,
The Spanish Prisoner ,Drama,1997,7.3,7,USA,10000000,10200000,David Mamet,
The Mummy Returns ,Action,2001,6.3,6,USA,98000000,202007640,Stephen Sommers,
Gangs of New York ,Crime,2002,7.5,8,USA,100000000,77679638,Martin Scorsese,
The Flowers of War ,Drama,2011,7.6,8,China,94000000,9213,Yimou Zhang,
Surf's Up ,Animation,2007,6.8,7,USA,100000000,58867694,Ash Brannon,
